substance,density,temperature,pore_size,mean_a1,mean_a2,error_a1,error_a2
C2,333.5321869999999,600.0,30.0,-1.4820676316605208,-0.028941391696234,0.0002029408285393,0.0007843590337084
C2,352.609262,600.0,30.0,-1.5070307377357308,-0.0274492070040782,0.0001605425236536,0.0005961109173694
C2,371.637273,600.0,30.0,-1.6091351575427024,-0.0285443488610788,0.0002044630718597,0.000768637805962
C2,390.7197159999999,600.0,30.0,-1.713447577393651,-0.0292757283752825,0.0002094467597918,0.0008440458079587
C2,29.033193999999995,600.0,120.0,-0.1174474325848262,-0.016196112381239,0.0001477149911201,0.000433924747806
C2,48.06500300000001,600.0,120.0,-0.1860211083773068,-0.0220941617129095,0.0001305432196329,0.0004254968895781
C2,67.10429099999999,600.0,120.0,-0.2544547910735503,-0.0263885019412632,0.0001777734675254,0.0006487113701635
C2,86.11953999999999,600.0,120.0,-0.3247712754698279,-0.0280305599361235,0.0001654902963481,0.0006571936172691
C2,105.15239999999996,600.0,120.0,-0.3976801978937654,-0.0324349028505689,0.0001915482074708,0.0007811514220183
C2,124.18388899999997,600.0,120.0,-0.4726979513736208,-0.0317524360409153,0.0002116535193778,0.0008263721281323
C2,143.242156,600.0,120.0,-0.5509991918837764,-0.0319527820261087,0.0001908434024436,0.0007576424465189
C2,162.233338,600.0,120.0,-0.6316437988198264,-0.031076588762099,0.0001942646987587,0.0007546951156413
C2,181.35033100000007,600.0,120.0,-0.7089620641753146,-0.0319185539809799,0.0002202185963397,0.000864440412804
C2,200.39998000000003,600.0,120.0,-0.8005710278174384,-0.0308286926940131,0.0002280524155492,0.0008838635624725
C2,219.30438300000003,600.0,120.0,-0.8880516812169362,-0.0304901255734937,0.0001972934043136,0.0007693571167662
C2,238.41180900000003,600.0,120.0,-0.9783192806094748,-0.0279235776654645,0.0001918770263008,0.0007036778106045
C2,257.391989,600.0,120.0,-1.069919722530913,-0.0265562536786898,0.0001801682164149,0.0006823711840025
C2,276.50126999999986,600.0,120.0,-1.16364972615878,-0.0258925996309801,0.0001950749459409,0.0006887208188514
C2,295.57945600000005,600.0,120.0,-1.2592151788883497,-0.0246437686693544,0.0001968270879974,0.0006946744784503
C2,314.48998300000005,600.0,120.0,-1.3549790317989463,-0.0252408236917158,0.0001736481355881,0.0006025536626734
C2,333.665774,600.0,120.0,-1.4534565888493478,-0.0240111139367631,0.000191768534027,0.0006770894284125
C2,352.609262,600.0,120.0,-1.5508172765850832,-0.0247923945320624,0.0002149068177066,0.0007872114195038
C2,371.637273,600.0,120.0,-1.649742076960344,-0.0234116819130773,0.000187178441868,0.0006321555651256
C2,390.5504449999999,600.0,120.0,-1.7478868297184535,-0.0236118831719657,0.0001834068917548,0.0006108878676212
C3,29.03518100000001,600.0,30.0,-0.1202472807796988,-0.0182454372017895,0.0001972315290118,0.0004733594111221
C3,48.06974600000001,600.0,30.0,-0.2039681065887098,-0.0292513864739418,0.0002077702990722,0.0006614601015098
C3,67.10879399999999,600.0,30.0,-0.2880114120285712,-0.0368988900625092,0.000265496352942,0.000964706997461
C3,86.13403900000002,600.0,30.0,-0.373411309121881,-0.0437907180079679,0.0003062843534442,0.0012266084491795
C3,105.176457,600.0,30.0,-0.4586186086980431,-0.0485870979482225,0.0002937912463496,0.0011574387153385
C3,124.19102500000002,600.0,30.0,-0.5450869284904994,-0.0539390956603867,0.0003063687523424,0.0013766318675932
C3,143.248895,600.0,30.0,-0.6335767629195391,-0.0559119387218872,0.0003204411736835,0.0013867860777611
C3,162.28868000000003,600.0,30.0,-0.7256674331533155,-0.0533974536637241,0.0003143759109991,0.0013921397013274
C3,181.3293830000001,600.0,30.0,-0.8210250483570397,-0.0532447965381572,0.0003130878438033,0.0013931683477835
C3,200.3689410000001,600.0,30.0,-0.9199999511125186,-0.0530444316770924,0.0002864543281676,0.0011916215784365
C3,219.375882,600.0,30.0,-1.0234443756002676,-0.050633506725474,0.0002755310113683,0.0011655321762559
C3,238.428453,600.0,30.0,-1.1317655888117528,-0.0499350986116144,0.0002629018117108,0.001058777260716
