substance,density,temperature,pore_size,mean_a1,mean_a2,error_a1,error_a2
C4,219.3684269999999,600.0,30.0,-1.192734920211817,-0.0909520720334498,0.0004829219428384,0.0022923794091233
C4,238.423578,600.0,30.0,-1.321507748910602,-0.0897994712923615,0.0004033589022766,0.0019984510259486
C4,257.4744850000001,600.0,30.0,-1.456023242462524,-0.0886303214540807,0.0006537929725059,0.0032104664074867
C4,276.5295689999999,600.0,30.0,-1.598639939182003,-0.0796467693799206,0.0004753624727083,0.0020862438929466
C4,295.5022170000001,600.0,30.0,-1.7476980350876672,-0.0775787396643438,0.0004948723865236,0.0024239551156881
C4,314.62141999999994,600.0,30.0,-1.903091575207508,-0.0694524401038689,0.0004244543377098,0.0017553815877447
C4,333.61028600000003,600.0,30.0,-2.065124271686832,-0.065773125902891,0.0003408361581443,0.0013846966368475
C4,390.7192949999999,600.0,30.0,-2.4820153394969844,-0.0554729775535967,0.0003779770738714,0.0014350046204987
C4,10.001179000000004,600.0,120.0,-0.0988687652990064,-0.0256252427649656,0.0004502412950356,0.0011024524228668
C4,29.03965,600.0,120.0,-0.2257125330747485,-0.0652019817376361,0.0003866413420424,0.0015770759828347
C4,48.076927,600.0,120.0,-0.3091368442066764,-0.0800664803225332,0.0004039444887917,0.0018628644775424
C4,67.10159399999999,600.0,120.0,-0.3866370086182847,-0.0906231406071531,0.0004506394667107,0.0021235949399597
C4,86.152592,600.0,120.0,-0.4674177302363227,-0.0970191795636089,0.0005509452731718,0.0027116219666762
